시점	국고채|잔액	환율|달러	통화량|M2	KOSDAQ|거래대금	KOSDAQ|종가	KOSPI|거래대금	KOSPI|종가	경기종합지수|동행지수순환변동치	경기종합지수|선행지수순환변동치	제조업|가동률	제조업|재고율	설비투자지수	수출|금액지수	수출|물량지수	순상품교역조건지수	기업경기실사지수|수출전망	기업경기실사지수|업황전망	기업경기실사지수|가동률전망	경제심리지수	실업률	고용률	소비자물가지수	생산자물가지수
200909	283594.3	1178.1		2398991989.0	505.94	7486380854.0	1673.14	98.9	101.0	79.6	69.411	71.9	74.78	61.15	109.08	104.0	89.0	102.0	108.3	3.7	58.9	84.459	93.42
200910	286727.3	1182.5		1755756353.0	486.46	5608220438.0	1580.69	99.1	101.5	78.2	69.359	65.4	74.32	60.87	108.91	110.0	92.0	106.0	110.8	3.6	58.8	84.235	92.67
200911	289277.3	1162.8		1619219735.0	464.32	4156400225.0	1555.6	99.2	102.1	78.9	69.036	71.1	74.57	60.68	107.12	105.0	88.0	103.0	112.6	3.7	58.7	84.384	92.99
200912	280853.3	1164.5		1997258357.0	513.57	4655864186.0	1682.77	99.1	102.4	79.4	68.869	72.3	78.8	63.41	105.31	101.0	88.0	105.0	113.9	3.6	58.5	84.682	93.46
201001	290314.3	1161.8		3240628832.0	496.57	6153237122.0	1602.43	99.3	102.6	79.7	73.819	73.4	70.94	56.0	108.03	114.0	90.0	108.0	114.7	4.6	58.3	85.351	93.87
201002	298510.4	1160.0		2268822492.0	507.03	4047188580.0	1594.58	99.8	102.4	80.0	75.74	78.5	69.42	54.66	106.7	119.0	94.0	113.0	115.3	4.0	58.4	85.523	94.03
201003	304790.4	1131.3		2289951309.0	515.74	4329068950.0	1692.85	100.2	102.1	80.8	73.656	79.5	83.67	65.52	108.51	124.0	100.0	123.0	115.6	3.7	58.6	85.696	94.47
201004	309688.4	1108.4		1858065078.0	523.75	5684745822.0	1741.56	100.4	101.9	81.0	73.55	78.6	86.26	66.57	107.41	115.0	95.0	121.0	115.9	3.6	59.0	86.041	95.16
201005	315045.0	1202.5		2101731079.0	489.42	6270911850.0	1641.25	100.8	102.0	80.6	72.576	71.8	84.86	65.63	104.81	121.0	104.0	122.0	116.1	3.2	59.2	86.128	95.96
201006	305320.0	1222.2		1659100995.0	489.98	5065175950.0	1698.29	100.9	102.0	80.7	71.786	78.7	87.66	68.67	104.1	116.0	97.0	113.0	116.2	3.5	59.1	86.041	96.07
201007	310402.6	1182.7		1515708187.0	481.45	5563520901.0	1759.33	101.1	101.9	80.9	72.313	78.4	88.53	70.02	104.75	119.0	96.0	115.0	116.1	3.8	59.2	86.214	96.31
201008	314242.1	1198.1		1487595265.0	464.71	5034247282.0	1742.75	100.7	101.7	78.9	73.059	84.0	83.64	66.57	104.4	114.0	97.0	111.0	115.9	3.5	59.0	86.647	96.6
201009	318488.6	1140.2		1504431130.0	492.75	6041004929.0	1872.81	100.3	101.4	79.2	74.152	83.8	85.49	67.96	102.48	124.0	95.0	112.0	115.4	3.8	58.8	87.337	97.16
201010	318671.7	1125.3		1856914300.0	526.45	6545581019.0	1882.95	99.8	100.9	80.4	74.576	83.6	94.69	74.94	101.62	116.0	94.0	105.0	114.9	3.7	58.9	87.337	97.52
201011	319852.7	1159.7		1866208153.0	498.39	6703180304.0	1904.63	99.9	100.9	80.6	73.175	80.6	93.09	72.87	100.54	110.0	93.0	107.0	114.2	3.3	58.8	86.906	97.85
201012	310076.7	1134.8		1565085131.0	510.69	5996517298.0	2051.0	100.2	100.7	82.4	74.277	81.9	96.64	75.03	99.55	113.0	91.0	110.0	113.4	3.7	59.0	87.251	98.76
201101	316940.7	1121.5		2287167872.0	521.38	7670743888.0	2069.73	100.9	101.1	84.0	69.959	81.7	92.72	71.79	97.4	110.0	92.0	110.0	112.6	3.5	58.5	88.288	100.28
201102	322820.7	1128.7		2059039222.0	504.46	6179024760.0	1939.3	100.7	101.1	81.0	72.186	77.8	84.29	63.87	97.42	110.0	90.0	105.0	111.7	3.7	59.0	88.892	101.03
201103	325535.7	1096.7		2080853440.0	525.42	6845384985.0	2106.7	100.9	101.1	82.2	73.061	83.2	104.67	77.3	96.27	119.0	90.0	113.0	111.0	3.8	59.2	89.238	102.24
201104	329402.8	1071.5		2104118212.0	511.0	9199004928.0	2192.36	100.4	100.9	80.6	74.966	80.4	103.84	75.37	95.16	118.0	90.0	106.0	110.3	3.5	59.3	89.325	102.87
201105	333299.8	1079.2		1265233637.0	484.54	7294221748.0	2142.47	100.9	100.8	80.6	75.578	83.3	103.59	75.91	91.08	115.0	96.0	110.0	109.7	3.2	59.5	89.497	103.18
201106	333725.4	1067.7		1215963681.0	479.55	6564420592.0	2100.69	101.0	100.7	81.5	77.042	83.2	104.71	77.2	91.94	118.0	95.0	107.0	109.1	3.3	59.6	89.67	102.95
201107	335627.4	1054.5		2105603372.0	536.05	6847705626.0	2133.21	101.0	100.6	80.4	76.743	81.1	106.28	78.49	92.2	114.0	92.0	106.0	108.4	3.4	59.4	90.102	103.09
201108	339241.4	1066.8		2598932249.0	493.44	8124718826.0	1880.11	101.2	100.4	79.1	77.187	88.6	101.95	75.62	91.39	110.0	89.0	102.0	107.8	3.2	59.5	90.707	103.22
201109	337865.9	1178.1		2190147049.0	449.66	6416028024.0	1769.65	100.8	100.1	79.7	78.428	82.3	106.52	79.55	91.41	102.0	86.0	107.0	107.1	3.3	58.8	90.62	103.3
201110	339640.9	1110.0		3039375573.0	490.69	6703428676.0	1909.03	101.0	100.0	80.8	79.934	81.1	104.04	79.0	90.51	105.0	87.0	102.0	106.3	3.2	59.5	90.448	103.2
201111	344302.9	1143.0		2811808552.0	492.81	5456312920.0	1847.51	100.7	99.8	79.9	82.106	80.4	104.06	79.74	91.39	107.0	84.0	98.0	105.6	3.3	59.4	90.534	102.87
201112	340060.8	1151.8		3158249206.0	500.18	4925847400.0	1825.74	100.6	99.7	77.9	84.891	83.5	105.5	82.11	89.7	99.0	84.0	97.0	104.9	3.2	59.4	90.879	102.97
201201	344399.2	1123.3		2797711797.0	513.99	5417135721.0	1955.79	100.2	99.8	79.8	78.652	86.0	91.7	70.75	91.03	100.0	81.0	97.0	104.2	3.2	59.2	91.242	103.5
201202	351078.4	1118.7		2990167531.0	542.3	6848263183.0	2030.25	100.7	100.2	82.8	78.807	98.5	102.5	78.1	91.3	99.0	82.0	96.0	103.7	3.4	59.4	91.588	104.21
201203	351254.6	1133.0		2250914119.0	519.56	5368063007.0	2014.04	100.5	100.4	80.0	81.555	80.6	105.97	80.19	90.11	106.0	84.0	97.0	103.1	3.3	59.6	91.614	104.73
201204	356131.1	1130.0		1950655035.0	478.89	4965044317.0	1981.99	100.6	100.5	80.4	80.628	82.3	101.47	77.18	88.28	106.0	84.0	100.0	102.3	3.3	59.7	91.605	104.78
201205	360899.2	1180.3		1605700528.0	471.94	4691140592.0	1843.47	100.6	100.2	80.2	79.382	79.1	104.77	81.34	88.36	107.0	89.0	99.0	101.3	3.1	60.0	91.769	104.19
201206	355997.6	1145.4		1707326000.0	489.16	4070644726.0	1854.01	100.6	100.3	79.0	78.935	75.7	105.11	83.3	89.67	106.0	88.0	97.0	100.1	3.2	59.8	91.639	102.93
201207	358444.0	1130.6		1734865758.0	467.61	4092987185.0	1881.99	100.8	100.0	77.6	78.624	79.9	104.08	82.41	93.49	98.0	80.0	93.0	98.7	3.1	59.8	91.432	102.48
201208	362723.0	1134.7		1843124564.0	508.35	4366251206.0	1905.12	100.2	99.7	73.7	83.689	74.2	98.72	77.42	93.42	100.0	70.0	89.0	97.4	3.2	59.6	91.855	103.11
201209	360425.4	1111.4		2680850257.0	523.78	5216919644.0	1996.21	100.1	99.4	76.1	79.315	81.1	107.32	83.8	91.49	98.0	73.0	91.0	96.2	3.2	59.7	92.512	103.47
201210	364166.4	1090.7		2504667291.0	508.31	4305597713.0	1912.06	99.8	99.3	78.0	79.847	78.5	108.29	84.69	90.3	89.0	68.0	88.0	95.3	3.1	59.7	92.339	102.67
201211	368640.9	1082.9		1882824174.0	499.37	4332995180.0	1932.9	100.0	99.3	78.6	82.864	72.3	110.6	87.14	91.18	91.0	70.0	85.0	94.7	3.2	59.5	92.011	101.96
201212	362893.4	1070.6		1598832596.0	496.32	4220279405.0	1997.05	100.1	99.4	78.2	85.172	75.6	102.99	81.24	92.18	91.0	67.0	86.0	94.5	3.1	59.3	92.175	101.71
